ID,name,address,category,location,Lat,Lng
247,SABER LIQUOR MARKET,4807 E MCKINLEY AVE,Liquor Store,"4807 E MCKINLEY AVE, Fresno, CA",36.7657315,-119.7357808
248,SAVE ON LIQUOR,4988 N FRESNO ST,Liquor Store,"4988 N FRESNO ST, Fresno, CA",36.8080023,-119.7809193
249,SCOTTYS LIQUOR,2206 N BLACKSTONE AVE,Liquor Store,"2206 N BLACKSTONE AVE, Fresno, CA",36.7706554,-119.790283
250,SHOP N GO,7420 N FRESNO ST,Liquor Store,"7420 N FRESNO ST, Fresno, CA",36.8448507,-119.782859
251,SHOP-N-RITE LIQUOR,4607 E TULARE ST,Liquor Store,"4607 E TULARE ST, Fresno, CA",36.743537,-119.7452266
252,SQUIRE LIQUOR,1568 N WEST AVE,Liquor Store,"1568 N WEST AVE, Fresno, CA",36.7641061,-119.8263438
253,STEP-N-SAVE,7006 N MAPLE AVE,Liquor Store,"7006 N MAPLE AVE, Fresno, CA",36.8378936,-119.744415
254,STOP N GO,2340 N WEST AVE,Liquor Store,"2340 N WEST AVE, Fresno, CA",36.7716529,-119.8263231
255,STOP N SAVE LIQUOR,5787 N 1ST ST,Liquor Store,"5787 N 1ST ST, Fresno, CA",36.8225481,-119.7732299
256,STOP N SHOP LIQUOR,3093 E MCKINLEY AVE,Liquor Store,"3093 E MCKINLEY AVE, Fresno, CA",36.7654125,-119.7727608
257,SUPER LIQUOR # 5,4045 W FIGARDEN DR # 107,Liquor Store,"4045 W FIGARDEN DR # 107, Fresno, CA",36.8293951,-119.8637113
258,SUPER LIQUOR 4,4430 W ASHLAN AVE,Liquor Store,"4430 W ASHLAN AVE, Fresno, CA",36.7943101,-119.8718472
259,TONY'S LIQUOR KING,3846 W SHAW AVE,Liquor Store,"3846 W SHAW AVE, Fresno, CA",36.8099212,-119.8621855
260,TOTAL WINE & MORE,7925 N BLACKSTONE AVE,Liquor Store,"7925 N BLACKSTONE AVE, Fresno, CA",36.8512152,-119.7944425
261,TOWER BEER & WINE,441 W OLIVE AVE STE 105,Liquor Store,"441 W OLIVE AVE STE 105, Fresno, CA",36.7572677,-119.8172032
262,U SAVE LIQUOR,4622 E TULARE ST,Liquor Store,"4622 E TULARE ST, Fresno, CA",36.7430782,-119.7446699
263,U SAVE LIQUOR #2,3209 W SHAW AVE STE 110,Liquor Store,"3209 W SHAW AVE STE 110, Fresno, CA",36.8066889,-119.8503305
264,U SAVE LIQUOR & MARKET,2576 N HUGHES AVE,Liquor Store,"2576 N HUGHES AVE, Fresno, CA",36.7736053,-119.8351372
265,UNCLE TOM LIQUOR,3081 TULARE ST,Liquor Store,"3081 TULARE ST, Fresno, CA",36.7419091,-119.7789242
266,UNIVERSITY DELI / LIQUOR,1752 E BARSTOW AVE,Liquor Store,"1752 E BARSTOW AVE, Fresno, CA",36.8163538,-119.7551466
267,USA LIQUOR,1626 N CEDAR AVE,Liquor Store,"1626 N CEDAR AVE, Fresno, CA",36.7657758,-119.7541886
268,VALLEY GAS LIQUOR & FOODMART,5190 E OLIVE AVE,Liquor Store,"5190 E OLIVE AVE, Fresno, CA",36.757258,-119.7186911
269,VARSITY LIQUOR,3057 E ASHLAN AVE,Liquor Store,"3057 E ASHLAN AVE, Fresno, CA",36.7945379,-119.7737042
270,VILLAGE LIQUOR & DELI,1025 E HERNDON AVE STE 101,Liquor Store,"1025 E HERNDON AVE STE 101, Fresno, CA",36.8364531,-119.7717825
271,VINO GRILLS & SPIRITS,1440 E CHAMPLAIN DR STE 106,Liquor Store,"1440 E CHAMPLAIN DR STE 106, Fresno, CA",36.869475,-119.757479
272,WAYNES LIQUOR,54 E CALIFORNIA AVE,Liquor Store,"54 E CALIFORNIA AVE, Fresno, CA",36.7210722,-119.8122152
273,WINE BARREL,1105 E CHAMPLAIN DR,Liquor Store,"1105 E CHAMPLAIN DR, Fresno, CA",36.870987,-119.764697
